property_id,title,description,location,type,price,bedrooms,bathrooms,size,status
34,Villa in Gerji,Large garden and staff quarters.,Addis Ababa,house,5800000,5,4,400,Pending
35,1-Bed Near Poly Bahir Dar,Walking distance to university.,Bahir Dar,apartment,780000,1,1,65,Rented
36,Modern Loft in Bole Rwanda,Open-plan industrial style.,Addis Ababa,apartment,2900000,2,2,150,Available
37,Townhouse in Hayat,Small compound with shared garden.,Addis Ababa,house,3600000,3,3,200,Available
38,Cheap Studio in Merkato,Above commercial shops.,Addis Ababa,studio,490000,1,1,32,Rented
39,Penthouse in Kirkos,Private elevator and terrace.,Addis Ababa,apartment,6500000,4,4,360,Available
40,Lake-View House in Bahir Dar Kebele 14,Direct beach access.,Bahir Dar,house,3800000,4,3,240,Available
41,2-Bed in Lebu,Near train station.,Addis Ababa,apartment,1450000,2,1,105,Available
42,G+2 Commercial-Residential in Bahir Dar,Bottom floor shop top floors living.,Bahir Dar,house,4900000,6,4,420,Available
43,Renovated House in Shiromeda,New plumbing and electric.,Addis Ababa,house,2700000,4,2,180,Sold
44,Studio in Signal,Near malls and cafes.,Addis Ababa,studio,920000,1,1,54,Available
45,Luxury Villa in Bole Lemi,Brand-new compound with clubhouse.,Addis Ababa,house,8500000,6,6,550,Available
46,Waterfront Apartment Bahir Dar Abay Mado,Modern block with gym.,Bahir Dar,apartment,1600000,2,2,120,Available
47,Family Apartment in Kolfe,Playground inside compound.,Addis Ababa,apartment,1850000,3,2,140,Rented
48,Old Ambassador Villa in Old Airport,Big plot diplomatic area.,Addis Ababa,house,12000000,7,6,650,Available
49,Studio Near Tana Hotel Bahir Dar,Great for tourists.,Bahir Dar,studio,650000,1,1,40,Available
50,Penthouse with Pool in Bole,Private rooftop pool and BBQ area.,Addis Ababa,apartment,9500000,5,5,480,Pending
51,3-Bed in Akaki,Affordable family home.,Addis Ababa,house,1550000,3,2,165,Sold
52,Lake House with Boat in Bahir Dar,Includes speedboat.,Bahir Dar,house,5900000,4,4,300,Available
53,New Studio in Gotera,Fully furnished.,Addis Ababa,studio,980000,1,1,58,Available
54,G+1 in Lafto,Good rental income potential.,Addis Ababa,house,3400000,4,3,220,Available
55,Condo in Africa Avenue,Tower with concierge.,Addis Ababa,apartment,4100000,3,3,195,Available
56,River-View House in Bahir Dar,Direct Blue Nile view.,Bahir Dar,house,2650000,3,2,170,Rented
57,2-Bed in Saris,Near ring road.,Addis Ababa,apartment,1680000,2,2,110,Available
58,Traditional Tukul Style Villa,Modern amenities inside traditional look.,Addis Ababa,house,3900000,4,3,260,Available
59,Studio in 4 Kilo,Near Arat Kilo campus.,Addis Ababa,studio,710000,1,1,44,Rented
60,Luxury Duplex in Yeka Hills,Panoramic city view.,Addis Ababa,apartment,5100000,4,3,280,Available
61,Small House in Nifas Silk,Good for starter family.,Addis Ababa,house,1780000,2,1,120,Sold
62,Hotel-Style Apartment in Bahir Dar,Currently Airbnb 80% occupancy.,Bahir Dar,apartment,2200000,2,2,130,Available
63,High-Rise Studio in Bole Medhanealem,24/7 power and water.,Addis Ababa,studio,1050000,1,1,60,Available
64,Gated Villa in CMC Compound,Clubhouse and tennis court.,Addis Ababa,house,7800000,5,5,480,Available
65,2-Bed Near Ghion Bahir Dar,Walking to lake and restaurants.,Bahir Dar,apartment,1250000,2,1,100,Rented
66,Renovated Apartment in Kazanchis,Diplomatic zone.,Addis Ababa,apartment,3600000,3,2,180,Available
67,Big Plot House in Kotebe,Suitable for redevelopment.,Addis Ababa,house,4300000,4,2,300,Available
68,Lake Tana View Penthouse,Top floor with huge terrace.,Bahir Dar,apartment,2900000,3,3,200,Available
69,Studio in Piazza,Historic building fully renovated.,Addis Ababa,studio,880000,1,1,50,Sold
70,Luxury Villa in Ayat Real Estate,Modern compound with security.,Addis Ababa,house,9200000,6,6,580,Available
71,Affordable 1-Bed in Hana Mariam Bahir Dar,Near poly and market.,Bahir Dar,apartment,680000,1,1,70,Rented
72,3-Bed in Mexico,Near embassies.,Addis Ababa,apartment,3400000,3,2,165,Available
73,G+2 in Summit Condo,Roof garden and gym.,Addis Ababa,house,6700000,5,4,350,Pending
74,Cozy Cottage Near Bezawit Bahir Dar,Quiet neighborhood.,Bahir Dar,house,1550000,2,1,95,Available
75,Executive Apartment in Bole Atlas,High floor city view.,Addis Ababa,apartment,4400000,3,3,205,Available
76,Old House in Sidist Kilo,Big land value.,Addis Ababa,house,3800000,4,2,240,Sold
77,New Lake-View Block Bahir Dar,Just completed modern finishing.,Bahir Dar,apartment,1950000,3,2,145,Available
78,Studio in Hayahulet,Near EDC and cafes.,Addis Ababa,studio,960000,1,1,56,Available
79,Villa in Bole Rwanda Embassy Area,Expat standard.,Addis Ababa,house,8800000,5,5,460,Available
80,1-Bed in Kebele 03 Bahir Dar,Close to airport.,Bahir Dar,apartment,740000,1,1,68,Rented
81,Modern Townhouse in Jemo 1,Small compound with garden.,Addis Ababa,house,3950000,3,3,210,Available
82,Penthouse Near UNECA,Diplomatic area top floor.,Addis Ababa,apartment,5800000,4,4,320,Available
83,Family House in Tulu Dimtu,Big yard kids friendly.,Addis Ababa,house,2250000,3,2,185,Sold
84,Lake Tana Resort-Style Villa,Private pool and jetty.,Bahir Dar,house,7800000,7,7,600,Available
